model_selector,segment,TOTHH,RETEMPN,FPSEMPN,HEREMPN,OTHEMPN,AGREMPN,MWTEMPN,AGE0519,HSENROLL,COLLFTE,COLLPTE
workplace,work_low,0,0.705,0,0,0.13,0,0.164,0,0,0,0
workplace,work_med,0,0.642,0,0,0.147,0,0.21,0,0,0,0
workplace,work_high,0,0.601,0,0,0.16,0,0.239,0,0,0,0
workplace,work_veryhigh,0,0.604,0,0,0.15,0,0.246,0,0,0,0
school,university,0,0,0,0,0,0,0,0,0,0.592,0.408
school,gradeschool,0,0,0,0,0,0,0,1,0,0,0
school,highschool,0,0,0,0,0,0,0,0,1,0,0
non_mandatory,escort,0,0.369,0,0,0,0,0,0.465,0.166,0,0
#non_mandatory,escort_kids,0,0.369,0,0,0,0,0,0.465,0.166,0,0
#non_mandatory,escort_nokids,0,0.369,0,0,0,0,0,0.465,0.166,0,0
non_mandatory,shopping,0,1,0,0,0,0,0,0,0,0,0
non_mandatory,eatout,0,1,0,0,0,0,0,0,0,0,0
non_mandatory,othmaint,0,1,0,0,0,0,0,0,0,0,0
non_mandatory,social,0,1,0,0,0,0,0,0,0,0,0
non_mandatory,othdiscr,0.252,0.484,0,0,0.165,0,0,0,0.098,0,0
atwork,atwork,0,1,0,0,0,0,0,0,0,0,0
trip,work,0,3,0,0,2,0,1,0,0,0,0
trip,escort,0.001,0.369,0,0,0,0,0,0.464,0.166,0,0
trip,shopping,0.001,0.999,0,0,0,0,0,0,0,0,0
trip,eatout,0,1,0,0,0,0,0,0,0,0,0
trip,othmaint,0.001,0.999,0,0,0,0,0,0,0,0,0
trip,social,0.001,0.999,0,0,0,0,0,0,0,0,0
trip,othdiscr,0.252,0.484,0,0,0.165,0,0,0,0.098,0,0
trip,univ,0.001,0,0,0,0,0,0,0,0,0.592,0.408
# not needed as school is not chosen as an intermediate trip destination,,,,,,0,,,,,,
#trip,gradeschool,0,0,0,0,0,0,0,1,0,0,0
#trip,highschool,0,0,0,0,0,0,0,0,1,0,0
